"codigoCentro","nroSeccion","nroCircuito","letraCircuito","nombreCircuito","nroMesa","letraMesa","fechaHora"
"ROSARIO","14","353","","ROSARIO SEC.12A LUDUEÑA","5387","","2015-06-15 05:17:00"
"ROSARIO","20","425","A","SAN LORENZO","7291","","2015-06-15 05:15:42"
"ROSARIO","15","362","F","VILLA GOB GALVEZ","6357","","2015-06-15 05:14:34"
"ROSARIO","14","349","","ROSARIO SEC.13A B.VISTA","5022","","2015-06-15 05:10:37"
"SANTAFE","09","015","","STA.FE (SUB.COM. 3A)","2408","","2015-06-15 05:10:26"
"ROSARIO","14","348","","ROSARIO SEC.11A R.S.PEÑA","4957","","2015-06-15 05:06:33"
"ROSARIO","04","379","C","CAÑADA RICA","780","E","2015-06-15 05:05:56"
"ROSARIO","14","353","A","ROSARIO SEC.17A ANT.ARG.","5519","","2015-06-15 05:04:53"
"ROSARIO","14","347","","ROSARIO SEC.14A BELGRANO","4761","","2015-06-15 05:04:11"
"ROSARIO","14","353","A","ROSARIO SEC.17A ANT.ARG.","5518","","2015-06-15 05:03:08"
"ROSARIO","14","359","","ROSARIO SEC.15A T.SUIZO","5951","","2015-06-15 05:02:41"
"ROSARIO","14","348","","ROSARIO SEC.11A R.S.PEÑA","4852","","2015-06-15 04:59:37"
"ROSARIO","15","355","","GDERO. BAIGORRIA","5679","","2015-06-15 04:59:33"
"ROSARIO","15","355","","GDERO. BAIGORRIA","5674","","2015-06-15 04:59:26"
"ROSARIO","14","354","","ROSARIO SEC.16A S.MARTIN","5563","","2015-06-15 04:52:51"
"ROSARIO","06","388","A","DIEGO DE ALVEAR","1028","","2015-06-15 04:52:20"
"ROSARIO","14","353","","ROSARIO SEC.12A LUDUEÑA","5380","","2015-06-15 04:51:10"
"ROSARIO","14","349","","ROSARIO SEC.13A B.VISTA","4989","","2015-06-15 04:49:34"
"ROSARIO","04","384","","VILLA CONSTITUCION","869","","2015-06-15 04:46:23"
"ROSARIO","14","349","A","ROSARIO SEC.18A S.FRANC.","5110","","2015-06-15 04:46:09"
"ROSARIO","15","352","","FUNES","5312","","2015-06-15 04:43:15"
"ROSARIO","14","359","A","ROSARIO SEC.21A M.S.MART.","6126","","2015-06-15 04:42:49"
"ROSARIO","20","420","","FRAY LUIS BELTRAN","7045","","2015-06-15 04:35:42"
"ROSARIO","06","399","","VENADO TUERTO","1287","","2015-06-15 04:33:41"
"SANTAFE","12","293","","SANTA MARGARITA","3541","","2015-06-15 04:33:21"
"ROSARIO","20","416","","CARCARAÑA","6972","","2015-06-15 04:32:48"
"ROSARIO","06","399","","VENADO TUERTO","1356","","2015-06-15 04:30:32"
"SANTAFE","09","015","","STA.FE (SUB.COM. 3A)","2403","","2015-06-15 04:30:08"
"ROSARIO","04","384","","VILLA CONSTITUCION","814","","2015-06-15 04:28:26"
"ROSARIO","14","349","A","ROSARIO SEC.18A S.FRANC.","5186","","2015-06-15 04:26:10"
"ROSARIO","04","384","","VILLA CONSTITUCION","828","","2015-06-15 04:24:43"
"ROSARIO","15","356","A","BARRIO CABIN NUEVE","5805","","2015-06-15 04:22:17"
"ROSARIO","06","399","","VENADO TUERTO","1262","","2015-06-15 04:21:21"
"SANTAFE","09","007","","STA.FE (SEC. 2A)","2113","","2015-06-15 04:16:25"
"ROSARIO","14","359","","ROSARIO SEC.15A T.SUIZO","5959","","2015-06-15 04:16:10"
"ROSARIO","15","362","B","ALVEAR","6235","","2015-06-15 04:11:28"
"ROSARIO","14","342","","ROSARIO SEC.10A ALBERDI","4216","","2015-06-15 04:11:05"
"ROSARIO","18","089","","SAN GENARO","6779","","2015-06-15 04:08:59"
